fecha,CO,NO,NO2,NOX,O3,PM10,PM25,SO2
2015-01-01,1.0506958250497018,22.76552795031056,24.225155279503102,46.98757763975155,23.1751497005988,105.57368421052632,78.95340501792114,11.55472263868066
2015-01-02,0.8075848303393214,32.24960753532182,21.554160125588695,53.80062794348509,17.268365817091453,36.687845303867405,15.44943820224719,
2015-01-03,0.6407554671968191,21.686915887850468,19.394080996884732,41.07165109034268,15.486486486486486,29.269021739130437,12.915129151291511,1.436936936936937
2015-01-04,0.7269396551724138,24.606271777003485,19.5609756097561,,17.329032258064515,39.96153846153846,16.83828382838284,1.809061488673139
2015-01-05,0.5308151093439364,11.443181818181818,20.99025974025974,32.439935064935064,14.470588235294118,31.855643044619423,,8.31578947368421
2015-01-06,0.7489523809523809,,23.24271844660194,51.213592233009706,12.902255639097744,40.321608040201006,21.11371237458194,4.024024024024024
2015-01-07,0.4432539682539682,11.29711375212224,16.2597623089983,27.594227504244483,17.055130168453292,30.054597701149422,10.737642585551333,2.192546583850932
2015-01-08,0.5335282651072125,10.527586206896553,21.62586206896552,32.1551724137931,19.15055467511886,33.31395348837209,14.501945525291829,1.9622331691297208
2015-01-09,1.0945736434108526,41.795180722891565,32.526678141135974,74.28399311531841,19.4828125,55.18867924528302,29.08510638297872,2.781045751633987
2015-01-10,0.7707224334600761,23.455716586151368,27.468599033816425,,22.68955223880597,,24.0718954248366,2.559006211180124
2015-01-11,0.9102880658436214,22.71080139372822,27.893728222996515,,29.90342679127726,42.43535620052771,26.52117263843648,3.040268456375839
2015-01-12,1.0654580152671755,27.3785594639866,38.01005025125628,,34.562406015037595,62.43107769423559,34.350819672131145,2.8125
2015-01-13,1.1151923076923076,30.266101694915253,41.313559322033896,71.57796610169491,36.21688500727802,73.11638954869359,38.20307692307692,6.075471698113208
2015-01-14,1.0307116104868914,25.475165562913908,37.82947019867549,63.29966887417218,29.79885877318117,69.59,36.6859756097561,8.08095238095238
2015-01-15,1.0531598513011151,29.60655737704918,38.27540983606557,67.89508196721312,35.10481586402266,66.86904761904762,32.69512195121951,3.5376175548589344
2015-01-16,0.9312962962962964,22.717821782178216,36.24752475247525,58.96039603960397,32.616361071932296,63.411483253588514,29.79320987654321,4.170471841704718
