CE-CO,CE-PM10,julian_day,hour
16.151098901098898,106.31593406593403,1,0
17.230769230769226,107.8241758241758,1,1
17.747752247752242,109.18031968031966,1,2
17.79820179820179,110.4175824175824,1,3
17.47827172827172,111.56918081918079,1,4
16.88411588411588,112.66833166833163,1,5
16.111888111888064,113.74825174825142,1,6
15.293706293706247,114.99999999999966,1,7
14.57342657342653,116.1608391608388,1,8
14.020979020978977,117.49650349650315,1,9
13.734265734265694,118.88811188811155,1,10
13.335664335664298,120.24475524475488,1,11
12.755244755244718,121.34965034964999,1,12
12.244755244755208,122.38461538461502,1,13
11.580419580419546,123.22377622377586,1,14
11.013986013985981,123.69230769230732,1,15
10.321678321678291,123.87412587412551,1,16
9.510489510489482,123.63636363636327,1,17
8.741258741258715,123.19580419580382,1,18
8.174825174825152,122.79720279720243,1,19
7.741258741258718,122.39160839160803,1,20
7.370629370629348,122.11188811188775,1,21
7.132867132867111,121.72027972027936,1,22
6.853146853146833,121.30069930069894,1,23
6.51048951048949,120.5664335664332,2,0
6.160839160839142,119.68531468531434,2,1
5.846153846153829,118.4545454545451,2,2
5.594405594405577,116.76223776223742,2,3
5.419580419580402,114.98601398601365,2,4
5.398601398601382,113.19580419580387,2,5
5.454545454545437,111.50349650349617,2,6
5.741258741258724,109.64335664335633,2,7
6.076923076923059,106.92307692307661,2,8
6.51048951048949,102.77622377622347,2,9
7.09090909090907,97.86013986013958,2,10
7.468531468531446,92.51048951048924,2,11
7.615384615384593,86.81818181818156,2,12
7.657342657342634,80.56643356643332,2,13
7.720279720279697,74.72027972027949,2,14
7.699300699300676,69.94405594405573,2,15
7.734265734265711,66.58041958041937,2,16
7.657342657342634,64.20279720279702,2,17
7.608391608391585,62.95804195804177,2,18
7.650349650349627,62.30069930069911,2,19
7.846153846153823,61.62237762237744,2,20
8.24475524475522,60.678321678321495,2,21
8.664335664335638,60.30069930069912,2,22
8.923076923076897,59.95804195804178,2,23
8.993006993006967,59.78321678321661,3,0
9.16783216783214,59.44055944055926,3,1
9.342657342657315,59.916083916083736,3,2
9.489510489510462,61.09090909090891,3,3
9.503496503496475,62.17482517482499,3,4
9.510489510489482,63.10489510489492,3,5
9.713286713286685,64.49650349650331,3,6
9.853146853146823,66.16783216783197,3,7
10.083916083916055,67.61538461538441,3,8
10.405594405594375,69.33566433566412,3,9
10.496503496503466,70.78321678321657,3,10
10.51048951048948,72.34965034965015,3,11
10.293706293706263,73.93706293706272,3,12
10.104895104895075,75.41258741258719,3,13
9.664335664335635,77.1328671328669,3,14
9.16783216783214,78.45454545454523,3,15
8.643356643356618,78.93006993006969,3,16
8.286713286713262,79.46153846153823,3,17
8.062937062937038,79.86013986013963,3,18
7.923076923076899,80.04195804195781,3,19
7.818181818181794,79.84615384615361,3,20
7.790209790209767,79.86013986013963,3,21
7.790209790209767,81.50349650349627,3,22
7.769230769230746,81.48251748251724,3,23
7.524475524475502,79.99300699300676,4,0
7.314685314685293,77.35664335664313,4,1
6.909090909090889,73.75524475524455,4,2
6.552447552447532,69.54545454545433,4,3
6.398601398601379,65.38461538461519,4,4
6.496503496503477,62.45454545454527,4,5
6.88111888111886,60.7762237762236,4,6
7.650349650349628,60.559440559440375,4,7
8.489510489510465,62.29370629370611,4,8
9.622377622377593,65.73426573426553,4,9
10.797202797202765,71.17482517482497,4,10
11.762237762237728,74.59440559440537,4,11
12.573426573426536,77.97202797202775,4,12
13.146853146853108,80.81118881118857,4,13
13.335664335664298,82.86013986013961,4,14
13.2377622377622,84.3496503496501,4,15
13.055944055944018,85.20979020978996,4,16
12.77622377622374,85.74825174825149,4,17
12.47552447552444,85.93006993006968,4,18
12.244755244755208,85.74825174825149,4,19
11.999999999999964,85.46853146853121,4,20
11.970629370629336,84.66433566433541,4,21
11.93169456805817,84.02797202797178,4,22
11.96617927527015,83.71328671328646,4,23
12.069421487603272,83.9510489510487,5,0
12.087575051211378,84.72727272727248,5,1
11.174486119940632,85.72027972027946,5,2
11.253231616867946,86.31468531468506,5,3
12.002133220315002,86.48951048951022,5,4
13.344267853358723,86.18881118881094,5,5
15.048866285229877,85.32167832167806,5,6
16.89914529914525,83.62237762237739,5,7
18.769230769230717,80.7412587412585,5,8
20.516083916083858,77.230769230769,5,9
21.795648795648734,73.59440559440537,5,10
22.25174825174819,69.77622377622356,5,11
21.643356643356583,64.32867132867113,5,12
19.853146853146797,60.97202797202779,5,13
16.923076923076874,59.46153846153828,5,14
14.832167832167787,59.27972027972011,5,15
12.776223776223736,60.20279720279702,5,16
11.090909090909056,62.05594405594387,5,17
9.9300699300699,64.45454545454525,5,18
9.265734265734237,67.02097902097881,5,19
9.286713286713258,69.3216783216781,5,20
9.832167832167803,71.1048951048949,5,21
10.545454545454515,71.8111888111886,5,22
11.335664335664301,70.9020979020977,5,23
12.146853146853111,68.34965034965015,6,0
12.678321678321641,67.8951048951047,6,1
13.027972027971991,67.13986013985995,6,2
13.279720279720241,66.11188811188791,6,3
13.67132867132863,64.76223776223756,6,4
13.99300699300695,63.160839160838975,6,5
14.230769230769187,61.34265734265716,6,6
14.230769230769189,59.23076923076905,6,7
14.097902097902058,56.685314685314516,6,8
13.797202797202758,53.69230769230754,6,9
13.230769230769193,50.699300699300544,6,10
12.342657342657308,47.92307692307678,6,11
11.181818181818148,45.95104895104881,6,12
9.706293706293676,44.99300699300686,6,13
8.272727272727249,44.545454545454405,6,14
7.097902097902076,45.01398601398588,6,15
6.167832167832149,45.99300699300686,6,16
5.363636363636347,47.27972027972014,6,17
4.923076923076907,48.48951048951034,6,18
4.82517482517481,49.146853146853,6,19
5.03496503496502,49.17482517482503,6,20
5.503496503496487,48.89510489510475,6,21
5.999999999999982,47.93706293706279,6,22
6.342657342657324,46.44755244755231,6,23
6.58041958041956,44.78321678321665,7,0
6.608391608391589,43.11188811188798,7,1
6.692307692307672,41.524475524475406,7,2
7.0559440559440345,40.405594405594286,7,3
7.5874125874125635,39.65034965034953,7,4
8.342657342657319,39.15384615384604,7,5
9.314685314685288,38.720279720279606,7,6
10.342657342657311,38.35664335664325,7,7
11.57342657342654,38.34965034965023,7,8
12.692307692307654,38.58741258741247,7,9
13.349650349650311,38.77622377622366,7,10
13.237762237762201,39.13286713286702,7,11
12.384615384615348,39.398601398601286,7,12
10.986013986013955,39.18881118881107,7,13
9.433566433566407,39.160839160839046,7,14
8.069930069930045,38.958041958041846,7,15
6.839160839160819,38.69930069930058,7,16
5.685314685314668,38.30769230769219,7,17
4.9370629370629215,37.62937062937051,7,18
4.818181818181802,37.13986013986003,7,19
5.384615384615367,37.13286713286702,7,20
6.1888111888111705,37.47552447552437,7,21
6.97202797202795,38.26573426573415,7,22
7.524475524475502,39.524475524475406,7,23
8.097902097902073,40.846153846153726,8,0
8.54545454545452,41.951048951048826,8,1
8.874125874125848,43.27972027972015,8,2
9.321678321678295,44.090909090908966,8,3
9.727272727272698,44.68531468531456,8,4
10.006993006992978,44.979020979020845,8,5
10.412587412587381,44.874125874125745,8,6
10.979020979020948,44.776223776223645,8,7
11.510489510489476,44.50349650349637,8,8
12.055944055944021,44.50349650349637,8,9
12.216783216783181,44.41258741258728,8,10
11.94405594405591,44.72727272727259,8,11
11.216783216783185,45.51748251748238,8,12
10.181818181818151,46.60839160839147,8,13
9.062937062937037,47.76223776223762,8,14
8.020979020978997,48.7412587412586,8,15
6.986013986013965,49.53846153846139,8,16
6.195804195804177,50.314685314685164,8,17
5.643356643356626,50.99999999999985,8,18
5.475524475524459,51.153846153846004,8,19
5.734265734265717,50.531468531468384,8,20
6.356643356643337,49.63636363636349,8,21
6.9300699300699105,48.727272727272585,8,22
7.41258741258739,47.99999999999986,8,23
7.748251748251725,47.307692307692164,9,0
8.111888111888089,46.79720279720266,9,1
8.587412587412562,46.265734265734125,9,2
9.230769230769203,45.97202797202783,9,3
9.853146853146823,46.06993006992993,9,4
10.664335664335633,46.60839160839147,9,5
11.475524475524441,47.59440559440545,9,6
12.419580419580383,48.951048951048804,9,7
13.489510489510451,50.69930069930055,9,8
14.38461538461534,52.797202797202644,9,9
14.909090909090864,54.87412587412572,9,10
14.818181818181776,56.188811188811016,9,11
14.216783216783174,57.07692307692291,9,12
13.160839160839123,57.72027972027956,9,13
11.825174825174791,57.83916083916067,9,14
10.335664335664305,57.64335664335647,9,15
8.741258741258715,57.21678321678304,9,16
7.258741258741236,56.6713286713285,9,17
6.1048951048950855,56.31468531468515,9,18
5.328671328671312,56.5734265734264,9,19
5.0419580419580265,57.027972027971856,9,20
5.083916083916068,57.41258741258724,9,21
5.342657342657326,56.9720279720278,9,22
5.601398601398584,56.28671328671312,9,23
5.937062937062919,55.8601398601397,10,0
6.398601398601379,55.34965034965018,10,1
6.776223776223756,54.825174825174656,10,2
7.167832167832145,54.29370629370614,10,3
7.657342657342634,53.48251748251732,10,4
8.160839160839137,52.54545454545439,10,5
8.762237762237737,51.57342657342642,10,6
9.391608391608363,50.30069930069915,10,7
9.993006993006963,48.706293706293565,10,8
10.601398601398571,46.83216783216769,10,9
10.944055944055911,44.860139860139725,10,10
